Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,CAN1.EEC2.Accel_Pedal_Pos,CAN1.CCVS1.Vehicle_Speed,CAN1.LFE.Engine_Fuel_Rate,CAN1.LFE.Engine_Inst_Fuel_Economy,Raw Data
2.704537,2026-07-29 10:07:09.297,0,,,,,CAN=2.704537 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.705119,2026-07-29 10:07:09.298,,0,,,,CAN=2.705119 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
2.70571,2026-07-29 10:07:09.298,,,0,,,CAN=2.70571 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
2.706304,2026-07-29 10:07:09.299,,,,0,0,CAN=2.706304 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
2.713857,2026-07-29 10:07:09.306,0,,,,,CAN=2.713857 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.72389,2026-07-29 10:07:09.316,0,,,,,CAN=2.72389 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.733927,2026-07-29 10:07:09.326,0,,,,,CAN=2.733927 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.743959,2026-07-29 10:07:09.336,0,,,,,CAN=2.743959 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.753992,2026-07-29 10:07:09.346,0,,,,,CAN=2.753992 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.754574,2026-07-29 10:07:09.347,,0,,,,CAN=2.754574 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
2.764021,2026-07-29 10:07:09.357,0,,,,,CAN=2.764021 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.774054,2026-07-29 10:07:09.367,0,,,,,CAN=2.774054 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.784091,2026-07-29 10:07:09.377,0,,,,,CAN=2.784091 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.794123,2026-07-29 10:07:09.387,0,,,,,CAN=2.794123 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.804152,2026-07-29 10:07:09.397,0,,,,,CAN=2.804152 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.804734,2026-07-29 10:07:09.397,,0,,,,CAN=2.804734 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
2.805324,2026-07-29 10:07:09.398,,,0,,,CAN=2.805324 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
2.805918,2026-07-29 10:07:09.398,,,,0,0,CAN=2.805918 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
2.814186,2026-07-29 10:07:09.407,0,,,,,CAN=2.814186 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.824218,2026-07-29 10:07:09.417,0,,,,,CAN=2.824218 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.834247,2026-07-29 10:07:09.427,0,,,,,CAN=2.834247 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.844279,2026-07-29 10:07:09.437,0,,,,,CAN=2.844279 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.854316,2026-07-29 10:07:09.447,0,,,,,CAN=2.854316 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.854898,2026-07-29 10:07:09.447,,0,,,,CAN=2.854898 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
2.864349,2026-07-29 10:07:09.457,0,,,,,CAN=2.864349 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.874377,2026-07-29 10:07:09.467,0,,,,,CAN=2.874377 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.88441,2026-07-29 10:07:09.477,0,,,,,CAN=2.88441 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.894443,2026-07-29 10:07:09.487,0,,,,,CAN=2.894443 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.904475,2026-07-29 10:07:09.497,0,,,,,CAN=2.904475 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.905057,2026-07-29 10:07:09.498,,0,,,,CAN=2.905057 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
2.905647,2026-07-29 10:07:09.498,,,0,,,CAN=2.905647 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
2.906241,2026-07-29 10:07:09.499,,,,0,0,CAN=2.906241 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
2.914509,2026-07-29 10:07:09.507,0,,,,,CAN=2.914509 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.924541,2026-07-29 10:07:09.517,0,,,,,CAN=2.924541 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.93457,2026-07-29 10:07:09.527,0,,,,,CAN=2.93457 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.944603,2026-07-29 10:07:09.537,0,,,,,CAN=2.944603 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.954635,2026-07-29 10:07:09.547,0,,,,,CAN=2.954635 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.955217,2026-07-29 10:07:09.548,,0,,,,CAN=2.955217 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
2.964672,2026-07-29 10:07:09.557,0,,,,,CAN=2.964672 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.974704,2026-07-29 10:07:09.567,0,,,,,CAN=2.974704 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.984736,2026-07-29 10:07:09.577,0,,,,,CAN=2.984736 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
2.994769,2026-07-29 10:07:09.587,0,,,,,CAN=2.994769 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.004803,2026-07-29 10:07:09.597,0,,,,,CAN=3.004803 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.005385,2026-07-29 10:07:09.598,,0,,,,CAN=3.005385 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.005975,2026-07-29 10:07:09.598,,,0,,,CAN=3.005975 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.006569,2026-07-29 10:07:09.599,,,,0,0,CAN=3.006569 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.014833,2026-07-29 10:07:09.607,0,,,,,CAN=3.014833 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.024869,2026-07-29 10:07:09.617,0,,,,,CAN=3.024869 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.034903,2026-07-29 10:07:09.627,0,,,,,CAN=3.034903 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.044932,2026-07-29 10:07:09.637,0,,,,,CAN=3.044932 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.054964,2026-07-29 10:07:09.647,0,,,,,CAN=3.054964 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.055547,2026-07-29 10:07:09.648,,0,,,,CAN=3.055547 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.064997,2026-07-29 10:07:09.657,0,,,,,CAN=3.064997 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.075029,2026-07-29 10:07:09.668,0,,,,,CAN=3.075029 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.085062,2026-07-29 10:07:09.678,0,,,,,CAN=3.085062 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.095095,2026-07-29 10:07:09.688,0,,,,,CAN=3.095095 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.105123,2026-07-29 10:07:09.698,0,,,,,CAN=3.105123 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.105706,2026-07-29 10:07:09.698,,0,,,,CAN=3.105706 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.106295,2026-07-29 10:07:09.699,,,0,,,CAN=3.106295 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.106889,2026-07-29 10:07:09.699,,,,0,0,CAN=3.106889 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.11516,2026-07-29 10:07:09.708,0,,,,,CAN=3.11516 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.125191,2026-07-29 10:07:09.718,0,,,,,CAN=3.125191 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.135223,2026-07-29 10:07:09.728,0,,,,,CAN=3.135223 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.145255,2026-07-29 10:07:09.738,0,,,,,CAN=3.145255 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.155283,2026-07-29 10:07:09.748,0,,,,,CAN=3.155283 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.155865,2026-07-29 10:07:09.748,,0,,,,CAN=3.155865 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.165311,2026-07-29 10:07:09.758,0,,,,,CAN=3.165311 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.175347,2026-07-29 10:07:09.768,0,,,,,CAN=3.175347 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.185379,2026-07-29 10:07:09.778,0,,,,,CAN=3.185379 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.19541,2026-07-29 10:07:09.788,0,,,,,CAN=3.19541 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.205442,2026-07-29 10:07:09.798,0,,,,,CAN=3.205442 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.206024,2026-07-29 10:07:09.799,,0,,,,CAN=3.206024 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.206614,2026-07-29 10:07:09.799,,,0,,,CAN=3.206614 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.207208,2026-07-29 10:07:09.800,,,,0,0,CAN=3.207208 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.215474,2026-07-29 10:07:09.808,0,,,,,CAN=3.215474 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.225501,2026-07-29 10:07:09.818,0,,,,,CAN=3.225501 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.235533,2026-07-29 10:07:09.828,0,,,,,CAN=3.235533 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.245565,2026-07-29 10:07:09.838,0,,,,,CAN=3.245565 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.255596,2026-07-29 10:07:09.848,0,,,,,CAN=3.255596 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.256178,2026-07-29 10:07:09.849,,0,,,,CAN=3.256178 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.265629,2026-07-29 10:07:09.858,0,,,,,CAN=3.265629 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.275661,2026-07-29 10:07:09.868,0,,,,,CAN=3.275661 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.285694,2026-07-29 10:07:09.878,0,,,,,CAN=3.285694 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.295726,2026-07-29 10:07:09.888,0,,,,,CAN=3.295726 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.305755,2026-07-29 10:07:09.898,0,,,,,CAN=3.305755 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.306337,2026-07-29 10:07:09.899,,0,,,,CAN=3.306337 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.306927,2026-07-29 10:07:09.899,,,0,,,CAN=3.306927 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.307521,2026-07-29 10:07:09.900,,,,0,0,CAN=3.307521 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.315791,2026-07-29 10:07:09.908,0,,,,,CAN=3.315791 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.325822,2026-07-29 10:07:09.918,0,,,,,CAN=3.325822 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.335854,2026-07-29 10:07:09.928,0,,,,,CAN=3.335854 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.345886,2026-07-29 10:07:09.938,0,,,,,CAN=3.345886 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.355914,2026-07-29 10:07:09.948,0,,,,,CAN=3.355914 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
