Time_Offset_Sec,SPN190_Logged_Phys,SPN190_Logged_Raw,SPN190_Original_Phys,SPN190_Original_Raw,SPN190_Error,SPN91_Logged_Phys,SPN91_Logged_Raw,SPN91_Original_Phys,SPN91_Original_Raw,SPN91_Error,SPN84_Logged_Phys,SPN84_Logged_Raw,SPN84_Original_Phys,SPN84_Original_Raw,SPN84_Error,SPN183_Logged_Phys,SPN183_Logged_Raw,SPN183_Original_Phys,SPN183_Original_Raw,SPN183_Error,SPN184_Logged_Phys,SPN184_Logged_Raw,SPN184_Original_Phys,SPN184_Original_Raw,SPN184_Error
0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.00390625,1,0.0,0,0.00390625,0.0,0,0.0,0,0.0,15.0,7680,0.0,0,15.0
0.01,0.125,1,0.12,1,0.005,,,,,,,,,,,,,,,,,,,,
0.02,0.25,2,0.24,2,0.01,,,,,,,,,,,,,,,,,,,,
0.03,0.375,3,0.36,3,0.015,,,,,,,,,,,,,,,,,,,,
0.04,0.5,4,0.48,4,0.02,,,,,,,,,,,,,,,,,,,,
0.05,0.625,5,0.6,5,0.025,0.0,0,0.0,0,-0.0,,,,,,,,,,,,,,,
0.06,0.75,6,0.72,6,0.03,,,,,,,,,,,,,,,,,,,,
0.07,0.875,7,0.84,7,0.035,,,,,,,,,,,,,,,,,,,,
0.08,1.0,8,0.96,8,0.04,,,,,,,,,,,,,,,,,,,,
0.09,1.125,9,1.08,9,0.045,,,,,,,,,,,,,,,,,,,,
0.1,1.25,10,1.2,10,0.05,0.0,0,0.0,0,-0.0,0.10546875,27,0.1,26,0.00546875,0.0,0,0.2,4,-0.2,15.0,7680,0.02,10,14.98
0.11,1.375,11,1.32,11,0.055,,,,,,,,,,,,,,,,,,,,
0.12,1.5,12,1.44,12,0.06,,,,,,,,,,,,,,,,,,,,
0.13,1.625,13,1.56,12,0.065,,,,,,,,,,,,,,,,,,,,
0.14,1.75,14,1.68,13,0.07,,,,,,,,,,,,,,,,,,,,
0.15,1.875,15,1.8,14,0.075,0.0,0,0.1,0,-0.1,,,,,,,,,,,,,,,
0.16,2.0,16,1.92,15,0.08,,,,,,,,,,,,,,,,,,,,
0.17,2.125,17,2.04,16,0.085,,,,,,,,,,,,,,,,,,,,
0.18,2.25,18,2.16,17,0.09,,,,,,,,,,,,,,,,,,,,
