================================================================================
J1939 INTELLIGENT WAVEFORM & SIGNAL VERIFICATION HUB - CAN BUS TRACE LOG (.TXT)
Creators: Vishal Meyyappan R (3rd Year ECE - ACT) & Srikar (4th year ECE)
Institution: Chennai Institute of Technology (CIT Chennai) & STUST Taiwan
--------------------------------------------------------------------------------
Log Timestamp    : 9/14/2026, 3:27:26 PM
CAN Bus Bitrate  : 500 kbps (J1939-21 Extended 29-bit CAN ID)
Timing Mode      : Smooth Waveform (50 Hz)
Total Logged     : 11465 frames
================================================================================

  #Frame     Time(ms)  Dir  CAN_ID_29b  PGN    DLC  Data_Bytes_Hex (D0..D7)    Decoded_Physical_SPN_Values
------------------------------------------------------------------------------------------------------------------------
    2757    1613.000  Tx  0x0CF00400  61444  8  F0 7D 7D 00 00 FF FF 7D  [SPN 899 Engine Torque Mode: 0.00 state, SPN 512 Driver Demand Engine Torque: 0.00 %, SPN 513 Actual Engine Percent Torque: 0.00 %, SPN 190 Engine Speed: 0.00 rpm, SPN 2432 Engine Demand Percent Torque: 0.00 %]
    2758    1613.000  Tx  0x18F02300  61475  8  00 00 FF FF FF FF FF FF  [SPN 4331 SCR Actual Dosing Reagent Quantity: 0.00 g/h]
    2759    1629.000  Tx  0x18F00200  61442  8  FF 00 00 FF FF FF FF FF  [SPN 91 Accelerator Pedal Position 1: 0.00 %, SPN 92 Engine Percent Load At Current Speed: 0.00 %]
    2760    1636.000  Tx  0x0CF00400  61444  8  F0 7D 7D 00 00 FF FF 7D  [SPN 899 Engine Torque Mode: 0.00 state, SPN 512 Driver Demand Engine Torque: 0.00 %, SPN 513 Actual Engine Percent Torque: 0.00 %, SPN 190 Engine Speed: 0.00 rpm, SPN 2432 Engine Demand Percent Torque: 0.00 %]
    2761    1636.000  Tx  0x18F02300  61475  8  00 00 FF FF FF FF FF FF  [SPN 4331 SCR Actual Dosing Reagent Quantity: 0.00 g/h]
    2762    1662.000  Tx  0x0CF00400  61444  8  F0 7D 7D 00 00 FF FF 7D  [SPN 899 Engine Torque Mode: 0.00 state, SPN 512 Driver Demand Engine Torque: 0.00 %, SPN 513 Actual Engine Percent Torque: 0.00 %, SPN 190 Engine Speed: 0.00 rpm, SPN 2432 Engine Demand Percent Torque: 0.00 %]
    2763    1662.000  Tx  0x18FEF100  65265  8  FF 00 00 FF FF FF FF FF  [SPN 84 Wheel-Based Vehicle Speed: 0.00 km/h]
    2764    1662.000  Tx  0x18F0090B  61449  8  7F 7D FF 71 7D 7F 7D 7D  [SPN 1807 Steering Wheel Angle: 0.00 rad, SPN 1808 Yaw Rate: 0.00 rad/s, SPN 1809 Lateral Acceleration: 0.00 m/s2, SPN 1810 Longitudinal Acceleration: 0.00 m/s2]
    2765    1662.000  Tx  0x0CF00503  61445  8  FF FF FF 7D FF FF FF FF  [SPN 523 Transmission Current Gear: 0.00 gear]
    2766    1662.000  Tx  0x18F0010B  61441  8  FF 00 FF FF FF FF FF FF  [SPN 521 Brake Pedal Position: 0.00 %]
