Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,CAN1.EEC2.Accel_Pedal_Pos,CAN1.EBC1.Brake_Pedal_Pos,CAN1.CCVS1.Vehicle_Speed,CAN1.LFE.Engine_Fuel_Rate,CAN1.LFE.Engine_Inst_Fuel_Economy,CAN1.LFE.Engine_Avg_Fuel_Economy,Raw Data
7.43943,2026-08-31 04:46:56.847,0,,,,,,,CAN=7.43943 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.459501,2026-08-31 04:46:56.867,0,,,,,,,CAN=7.459501 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.469537,2026-08-31 04:46:56.877,,0,,,,,,CAN=7.469537 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.479568,2026-08-31 04:46:56.887,0,,,,,,,CAN=7.479568 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.499647,2026-08-31 04:46:56.907,0,,,,,,,CAN=7.499647 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.519714,2026-08-31 04:46:56.927,0,,,,,,,CAN=7.519714 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.520296,2026-08-31 04:46:56.928,,0,,,,,,CAN=7.520296 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.520886,2026-08-31 04:46:56.928,,,0,,,,,CAN=7.520886 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
7.521476,2026-08-31 04:46:56.929,,,,0,,,,CAN=7.521476 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
7.52207,2026-08-31 04:46:56.930,,,,,0,0,0,CAN=7.52207 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
7.539789,2026-08-31 04:46:56.947,0,,,,,,,CAN=7.539789 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.559862,2026-08-31 04:46:56.967,0,,,,,,,CAN=7.559862 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.569894,2026-08-31 04:46:56.977,,0,,,,,,CAN=7.569894 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.57993,2026-08-31 04:46:56.987,0,,,,,,,CAN=7.57993 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.600003,2026-08-31 04:46:57.008,0,,,,,,,CAN=7.600003 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.620076,2026-08-31 04:46:57.028,0,,,,,,,CAN=7.620076 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.620658,2026-08-31 04:46:57.028,,0,,,,,,CAN=7.620658 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.621248,2026-08-31 04:46:57.029,,,0,,,,,CAN=7.621248 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
7.621838,2026-08-31 04:46:57.029,,,,0,,,,CAN=7.621838 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
7.622432,2026-08-31 04:46:57.030,,,,,0,0,0,CAN=7.622432 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
7.640146,2026-08-31 04:46:57.048,0,,,,,,,CAN=7.640146 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.66022,2026-08-31 04:46:57.068,0,,,,,,,CAN=7.66022 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.670255,2026-08-31 04:46:57.078,,0,,,,,,CAN=7.670255 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.680289,2026-08-31 04:46:57.088,0,,,,,,,CAN=7.680289 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.700358,2026-08-31 04:46:57.108,0,,,,,,,CAN=7.700358 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.720424,2026-08-31 04:46:57.128,0,,,,,,,CAN=7.720424 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.721006,2026-08-31 04:46:57.129,,0,,,,,,CAN=7.721006 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.721596,2026-08-31 04:46:57.129,,,0,,,,,CAN=7.721596 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
7.722186,2026-08-31 04:46:57.130,,,,0,,,,CAN=7.722186 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
7.72278,2026-08-31 04:46:57.130,,,,,0,0,0,CAN=7.72278 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
7.740496,2026-08-31 04:46:57.148,0,,,,,,,CAN=7.740496 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.760563,2026-08-31 04:46:57.168,0,,,,,,,CAN=7.760563 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.770598,2026-08-31 04:46:57.178,,0,,,,,,CAN=7.770598 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.780634,2026-08-31 04:46:57.188,0,,,,,,,CAN=7.780634 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.800707,2026-08-31 04:46:57.208,0,,,,,,,CAN=7.800707 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.820776,2026-08-31 04:46:57.228,0,,,,,,,CAN=7.820776 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.821358,2026-08-31 04:46:57.229,,0,,,,,,CAN=7.821358 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.821948,2026-08-31 04:46:57.229,,,0,,,,,CAN=7.821948 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
7.822538,2026-08-31 04:46:57.230,,,,0,,,,CAN=7.822538 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
7.823132,2026-08-31 04:46:57.231,,,,,0,0,0,CAN=7.823132 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
7.840845,2026-08-31 04:46:57.248,0,,,,,,,CAN=7.840845 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.860918,2026-08-31 04:46:57.268,0,,,,,,,CAN=7.860918 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.870948,2026-08-31 04:46:57.278,,0,,,,,,CAN=7.870948 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.880987,2026-08-31 04:46:57.288,0,,,,,,,CAN=7.880987 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.901055,2026-08-31 04:46:57.309,0,,,,,,,CAN=7.901055 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.921121,2026-08-31 04:46:57.329,0,,,,,,,CAN=7.921121 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.921703,2026-08-31 04:46:57.329,,0,,,,,,CAN=7.921703 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.922293,2026-08-31 04:46:57.330,,,0,,,,,CAN=7.922293 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
7.922883,2026-08-31 04:46:57.330,,,,0,,,,CAN=7.922883 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
7.923477,2026-08-31 04:46:57.331,,,,,0,0,0,CAN=7.923477 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
7.941196,2026-08-31 04:46:57.349,0,,,,,,,CAN=7.941196 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.961267,2026-08-31 04:46:57.369,0,,,,,,,CAN=7.961267 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
7.971297,2026-08-31 04:46:57.379,,0,,,,,,CAN=7.971297 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
7.981332,2026-08-31 04:46:57.389,0,,,,,,,CAN=7.981332 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
8.001406,2026-08-31 04:46:57.409,0,,,,,,,CAN=8.001406 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
8.021476,2026-08-31 04:46:57.429,0,,,,,,,CAN=8.021476 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
